extrema_type,extrema_value,time,thrust,acceleration,dynamic_pressure,angle_of_attack_gust,angle_of_attack_total,true_velocity,altitude,temperature,pressure,latitude,longitude,lat_m,long_m,range_m,landing_range
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222200,131.010000,0.000000,0.000000,0.000000,-1285802.754993
launch_clear,7.572349,0.540000,349.270324,29.288037,163.139335,37.842042,25.615212,16.326099,7.572349,14.950780,1012.340632,31.222184,131.010022,-1.765099,2.081646,2.729253,-1285802.936829
max_speed,47.763310,2.420000,89.029686,5.074760,1387.569248,11.666742,4.748860,47.763310,72.943272,14.525869,1004.517646,31.221979,131.010302,-24.448804,28.804652,37.781661,-1285805.291148
max_dynamic_pressure,1387.569248,2.420000,89.029686,5.074760,1387.569248,11.666742,4.748860,47.763310,72.943272,14.525869,1004.517646,31.221979,131.010302,-24.448804,28.804652,37.781661,-1285805.291148
max_acceleration,490.930817,17.480000,0.000000,490.930817,277.694212,27.282595,14.307165,21.293542,0.925541,14.993984,1013.138816,31.220128,131.012811,-229.709972,267.829687,352.846960,-1285828.288452
max_qbar_atan_aoa,1464996.050365,10.830000,0.000000,13.624649,554.936411,46.075558,43.821028,30.331071,159.018870,13.966377,994.291651,31.220819,131.011878,-153.137742,178.928019,235.514054,-1285819.543499
max_altitude,205.361583,7.640000,0.000000,2.869645,18.673533,70.230013,49.178542,5.576342,205.361583,13.665150,988.821033,31.221277,131.011260,-102.370888,120.058852,157.778538,-1285813.707883
final_point,0.228523,17.530000,0.000000,189.299163,71.857745,49.019648,23.647321,10.831454,0.228523,14.998515,1013.222547,31.220126,131.012814,-229.922482,268.080134,353.175416,-1285828.310523
parachute_deploy,1.000000,11.680000,0.000000,39.403753,509.292985,34.337053,29.846829,29.021031,133.336045,14.133316,997.333970,31.220710,131.012025,-165.249199,192.988465,254.071702,-1285820.926775
max_thrust,855.293775,0.070000,855.293775,81.423523,2.854984,76.565715,5.223066,2.159286,3.032034,14.980292,1012.885802,31.222200,131.010000,-0.012950,0.015268,0.020020,-1285802.756329
